,Product Number,material,mfr_part_number,PLANT,item_category_group,SERIAL_NO_PROFILE
635,X3H15UAR,,,,,
636,W2K88UAR,,,,,
637,P7K44UC,,,,,
638,V0A88UP,,,,,
639,T4M13LT,,,,,
640,X9U95UT,,,,,
641,Y7C53LT,,,,,
642,Z5Y05US,,,,,
643,1BD42UP,,,,,
644,Y1P13EC,,,,,
645,V4A28UP,,,,,
646,W5N42UC,,,,,
647,X7K17US,,,,,
648,1GG27US,,,,,
649,V5F11AV,,,,,
650,V8H02US,,,,,
651,W3M78US,,,,,
652,V0N11AV,,,,,
653,Z6N41US,,,,,
654,W2M87UAR,,,,,
655,W0W90US,,,,,
656,L9K69UT,,,,,
657,Y6Y90US,,,,,
658,L9K62UT,,,,,
659,Z1F76UT,,,,,
660,X6G24AA,,,,,
661,Y3R72UC,,,,,
662,Z3P77UA,,,,,
663,P5U72UT,,,,,
664,W5H84US,,,,,
665,W6G22US,,,,,
666,801113R-999,,,,,
667,X8Y86US,,,,,
668,1GE38UT,,,,,
669,W9Z09UT,,,,,
670,V7C01UC,,,,,
671,X8V56PC,,,,,
672,X5H68US,,,,,
673,Z2G18UT,,,,,
674,1CU15UP,,,,,
675,V1Q08UT,,,,,
676,X6G26AA,,,,,
677,X6G28AA,,,,,
678,V1S70UC,,,,,
679,Y2Q71UP,,,,,
680,Y5A51US,,,,,
681,N4E60AV,,,,,
682,X6G06AA,,,,,
683,V2N56US,,,,,
684,Z6N63UP,,,,,
685,X6F76AA,,,,,
686,W4S30UC,,,,,
687,T9J76US,,,,,
688,X7U85UA,,,,,
689,X1Z30US,,,,,
690,1BS98UT,,,,,
691,V1P93UA,,,,,
692,Z5X79EC,,,,,
693,V9G55EP,,,,,
694,V0B58UP,,,,,
695,N0J25AV,,,,,
696,802894R-999,,,,,
697,1LT19US,,,,,
698,L8Z53AV,,,,,
699,V9B76AA,,,,,
700,F8A15UC,,,,,
701,X7T64UA,,,,,
702,Z4P05UA,,,,,
703,W5Z10UT,,,,,
704,Z9Q61UP,,,,,
705,V2V79UT,,,,,
706,V7A45UC,,,,,
707,Z9W31UP,,,,,
708,W0W26UP,,,,,
709,V9C50AA,,,,,
710,W2L90UA,,,,,
711,Z9V66UP,,,,,
712,Z4P09UA,,,,,
713,Z1Z75UT,,,,,
714,T6V04UP,,,,,
715,T4N99UT,,,,,
716,1BQ08UA,,,,,
717,W5P27UC,,,,,
718,V1H19UA,,,,,
719,T7J70US,,,,,
720,Y0M38AA,,,,,
721,X9U45UT,,,,,
722,V2W07UT,,,,,
723,T4A32AA,,,,,
724,T4N77UT,,,,,
725,X8Y85US,,,,,
726,Y1W53US,,,,,
727,X9U42UT,,,,,
728,V6K16EC,,,,,
729,X5H46US,,,,,
730,Z2A20UT,,,,,
731,X7X03UA,,,,,
732,W2M58UA,,,,,
733,Z8V11UC,,,,,
734,T6T15UA,,,,,
735,Z0J34EC,,,,,
736,Z1Z85UT,,,,,
737,T4P06UT,,,,,
738,W0R84UT,,,,,
739,T8Z04UT,,,,,
740,W4R89UC,,,,,
741,W6R38AV,,,,,
742,W5Z03UT,,,,,
743,1DW66UP,,,,,
744,W5Z17UT,,,,,
745,W0S99UT,,,,,
746,W9E24UP,,,,,
747,X8T64AV,,,,,
748,V1H21UA,,,,,
749,Z1Y84LT,,,,,
750,Z8L59UP,,,,,
751,X9U97UT,,,,,
752,T4P08UT,,,,,
753,V8P39AA,,,,,
754,X3H05UA,,,,,
755,X3P80US,,,,,
756,V9Y34UP,,,,,
757,W4B87US,,,,,
758,X7Q97UAR,,,,,
759,X0J68UA,,,,,
760,W6J25US,,,,,
761,V7C93LC,,,,,
762,Z1E97US,,,,,
763,X4J01EC,,,,,
764,T5P69UC,,,,,
765,P4W31UAR,,,,,
766,X6G21AA,,,,,
767,B3Q17AR,,,,,
768,1HU50US,,,,,
769,W0E65US,,,,,
770,Y8K76UA,,,,,
771,V1M02US,,,,,
772,Z6P88UP,,,,,
773,1FZ01UT,,,,,
774,W9E64UP,,,,,
775,1FD41US,,,,,
776,X8X24UC,,,,,
777,Y0L00EC,,,,,
778,L1M96PP,,,,,
779,X9R15EC,,,,,
780,Z5T26UP,,,,,
781,Z9P30UP,,,,,
782,Z0H86EC,,,,,
783,V9Z73UP,,,,,
784,1JR98US,,,,,
785,W5K31US,,,,,
786,1BR05UP,,,,,
787,Y7A54US,,,,,
788,P5V09UT,,,,,
789,Z4T67US,,,,,
790,X7W85UA,,,,,
791,X7W86UA,,,,,
792,X7W87UA,,,,,
793,Y3G75UA,,,,,
794,X7A15UC,,,,,
795,Y4E54UT,,,,,
796,Z8N66UP,,,,,
797,V9Y46UP,,,,,
798,W2L01UAR,,,,,
799,V0B56UP,,,,,
800,V4A34UC,,,,,
801,W5Y29LT,,,,,
802,1GE41UT,,,,,
803,Z2B11UT,,,,,
804,Z1X98US,,,,,
805,T0D95UAR,,,,,
806,X7V20UAR,,,,,
807,X0F04US,,,,,
808,Z8V09UC,,,,,
809,P5U77UT,,,,,
810,K4X82UP,,,,,
811,X2D63UT,,,,,
812,1FC25US,,,,,
813,V1Q02UT,,,,,
814,X8B42US,,,,,
815,X8V85UA,,,,,
816,X8V87UA,,,,,
817,Y4E06US,,,,,
818,T5P63UC,,,,,
819,1BS54UT,,,,,
820,W5Z07UA,,,,,
821,V1E00UC,,,,,
822,N5R26UAR,,,,,
823,X3U20AV,,,,,
824,V1H03UA,,,,,
825,V8D88US,,,,,
826,Y6T30UP,,,,,
827,P5U75UT,,,,,
828,W4T31EP,,,,,
829,V6H07EC,,,,,
830,Z2H07UP,,,,,
831,W3U99UP,,,,,
832,1FX69US,,,,,
833,Y0D11UP,,,,,
834,V0B44UC,,,,,
835,1BC20UP,,,,,
836,Z3X59US,,,,,
837,T3L34UT,,,,,
838,Z9N21US,,,,,
839,X0E02US,,,,,
840,Z3X34US,,,,,
841,1LF93UT,,,,,
842,Y6C56US,,,,,
843,W2Z50A8,,,,,
844,V7B79UC,,,,,
845,W7D90UAR,,,,,
846,T4P04UT,,,,,
847,X7Z33EP,,,,,
848,X9R13EC,,,,,
849,Y4X55US,,,,,
850,Y4E58UT,,,,,
851,1GW96US,,,,,
852,Y3M89EC,,,,,
853,X5L74US,,,,,
854,W3N78US,,,,,
855,1FE73US,,,,,
856,T4A37AAR,,,,,
857,V8P07AAR,,,,,
858,Y3S30UC,,,,,
859,Z3N50UC,,,,,
860,V8D97US,,,,,
861,Z8V86UC,,,,,
862,W9E14UP,,,,,
863,M1W11UAR,,,,,
864,Y5F14UA,,,,,
865,W8J76EP,,,,,
866,1CZ92UP,,,,,
867,1FY88UT,,,,,
868,W8D88UC,,,,,
869,Z8T61AW,,,,,
870,T3L73UT,,,,,
871,W0B14US,,,,,
872,Z2D23UT,,,,,
873,1BQ04UA,,,,,
874,V0E17US,,,,,
875,Z6Q42US,,,,,
876,Z9U04US,,,,,
877,X7R61A8,,,,,
878,X5L61US,,,,,
879,X5G04US,,,,,
880,V2U06UP,,,,,
881,Y2P31UT,,,,,
882,Z8V62UC,,,,,
883,V0D93UT,,,,,
884,V4X43US,,,,,
885,X2A17UC,,,,,
886,Y2Z63AV,,,,,
887,X2E42UA,,,,,
888,Y9R49LT,,,,,
889,W2M84UA,,,,,
890,X1P45US,,,,,
891,W2L86UA,,,,,
892,X1E61UP,,,,,
893,W8X31UAR,,,,,
894,M1J30UC,,,,,
895,X2A33UP,,,,,
896,V0E76US,,,,,
897,Z3P76UA,,,,,
898,Z8N49UP,,,,,
899,W7P10UP,,,,,
900,X1H62EP,,,,,
901,W7D54UA,,,,,
902,Z3S70US,,,,,
903,M7Q10UC,,,,,
904,W5Z16UT,,,,,
905,Y6S08UP,,,,,
906,X7U84UAR,,,,,
907,Z3U29US,,,,,
908,1CZ84UP,,,,,
909,Z8N68UP,,,,,
910,Z9J86UP,,,,,
911,L8U50AV,,,,,
912,X3T04LA,,,,,
913,X9V25UT,,,,,
914,Z4P07UA,,,,,
915,Z4P10UA,,,,,
916,W2M59UA,,,,,
917,X9U62UT,,,,,
918,Y9E32US,,,,,
919,T7K38US,,,,,
920,1BQ06UA,,,,,
921,M2D46A8,,,,,
922,X6Y20LA,,,,,
923,T6W20UT,,,,,
924,X7T98UA,,,,,
925,Z2K89UA,,,,,
926,Y6D71US,,,,,
927,V7S06LA,,,,,
928,1HM62US,,,,,
929,V8P97AA,,,,,
930,X1L99US,,,,,
931,W2C94US,,,,,
932,1BS95UT,,,,,
933,Z9Q71UP,,,,,
934,Y6E49UT,,,,,
935,X1C21EP,,,,,
936,1CV39US,,,,,
937,V7R88LA,,,,,
938,T6E14UT,,,,,
939,Y9Q94LT,,,,,
940,X9P69US,,,,,
941,X5Z80AA,,,,,
942,L4Q23AV,,,,,
943,X6Y03LA,,,,,
944,Y9G06UT,,,,,
945,M9Z92AA,,,,,
946,W7C00UA,,,,,
947,Y0D12UP,,,,,
948,T3L35UT,,,,,
949,V1K56US,,,,,
950,X0D98US,,,,,
951,V7B81UC,,,,,
952,Y1X32UT,,,,,
953,X6G17AA,,,,,
954,1LB95US,,,,,
955,1KK54US,,,,,
956,1DY33US,,,,,
957,1BQ10UA,,,,,
958,V7S52LA,,,,,
959,Z3S82US,,,,,
960,1BA82UP,,,,,
961,W4D13US,,,,,
962,W6K70US,,,,,
963,X7P49UC,,,,,
964,X7T85UA,,,,,
965,X9V89PP,,,,,
966,W0S85UT,,,,,
967,W4Q98UC,,,,,
968,X8A09UP,,,,,
969,Y9G28UT,,,,,
